Def,Example,Persian,English
"der Leiter, - die Leiterin, -nen",Wie heißt die Leiterin der Schule?,"رهبر، - رهبر زن، -s","the leader, - the female leader, -s"
"die Leitung, -en","1. Ab 1. Juli übernimmt Herr Meier die Leitung der Abteilung. 2. Tut mir leid, alle Leitungen sind besetzt. 3. Wir müssen eine neue Leitung legen lassen.",خط(ها),the line(s)
"die Leiter, -n",Haben Sie eine Leiter für mich? Ich will die Fenster putzen.,نردبان(ها),the ladder(s)
"lernen, lernt, lernte, hat gelernt",Wie lange lernen Sie schon Deutsch?,"یاد گرفتن، یاد گرفتن، یاد گرفتن، یاد گرفته است","learn, learns, learned, has learned"
"der Lerner, - die Lernerin, -nen",Sie ist eine fleißige Lernerin.,"زبان‌آموز، - زبان‌آموز (مونث)، -s","the learner, - the learner (female), -s"
"lesen, liest, las, hat gelesen","1. Ich habe gelesen, dass es ab heute Sonderangebote gibt. 2. Deine Schrift kann ich nicht gut lesen. 3. In der Schule lesen wir ein Buch von Goethe.","خوانده، خوانده، خوانده، خوانده است","read, reads, read, has read"
"der Leser, - die Leserin, -nen",1. Die Leserinnen und Leser sind mit der Zeitung zufrieden. 2. Ich werde einen Leserbrief schreiben.,"خواننده، - خواننده زن، -s","the reader, - the female reader, -s"
letzt-,1. Was hast du letzte Woche gemacht? 2. Ich wohne im letzten Haus auf der rechten Seite. 3. Wann haben Sie Ihre Familie das letzte Mal gesehen?,آخرین-,last-
die Leute (Pl.),Auf der Party waren viele Leute.,مردم (جمع),the people (pl.)
"das Lexikon, -Lexika",Wir könnten im Lexikon nachsehen.,"دایره‌المعارف، -دایره‌المعارف‌ها","the encyclopedia, -encyclopedias"
"das Licht, -er",1. Kannst du bitte Licht machen? Ich kann so nichts sehen. 2. Es ist so dunkel. Wo macht man hier das Licht an?,"نور، -er","the light, -er"
"lieben, liebt, liebte, hat geliebt","1. Ich liebe meine Familie. 2. Meine Frau liebt ihren Beruf. 3. Wir sind schon lange verheiratet, aber wir lieben uns immer noch.","دوست داشتن، دوست داشتن، دوست داشتن، دوست داشته شدن","to love, loves, loved, has loved"
lieb,1. Die Kinder waren heute sehr lieb. 2. Vielen Dank für deine Hilfe. Das ist sehr lieb von dir. 3. Liebe Frau Meier!,عزیز,dear
die Liebe,1. Wir haben aus Liebe geheiratet. 2. Für mich ist das Wichtigste die Liebe zu meiner Familie und zu meinen Kindern. 3. Die Kinder haben die Geschenke mit viel Liebe gemacht.,عشق,love
Lieblings-,"z. B. Lieblingsfarbe, Lieblingsfilm, Lieblingsessen Mein Lieblingsessen ist Pizza.",مورد علاقه-,Favorite-
"das Lied, -er",Zu deinem Geburtstag singen wir dir ein Lied.,"آهنگ، -er","the song, -er"
"liefern, liefert, lieferte, hat geliefert",Wir liefern Ihnen das Regal direkt ins Haus.,"تحویل دادن، رساندن، رساندن، رسانده است","deliver, delivers, delivered, has delivered"
"die Lieferung, -en",Sie bezahlen erst bei der Lieferung.,"تحویل، -s","the delivery, -s"
"liegen, liegt, lag, hat/ist gelegen",1. Der Brief liegt schon auf Ihrem Schreibtisch. 2. Judith liegt noch im Bett. 3. Er liegt schon seit drei Wochen im Krankenhaus. 4. Frankfurt liegt am Main. 5. In den Bergen liegt schon Schnee.,"دروغ، دروغ گفتن، دراز کشیدن، دراز کشیدن/کشیده شدن","lie, lies, lay, has/is lain"
"der Lift, -e → D, A: Aufzug",Im Büro ist leider der Lift kaputt.,"آسانسور، -s → D، A: آسانسور","the lift, -s → D, A: elevator"
"die Limonade, -n",Die Limonade ist sehr süß.,"لیموناد، -s","the lemonade, -s"
"die Linie, -n",Zum Hauptbahnhof können Sie mit der Linie 8 fahren.,"خط، -s","the line, -s"
links,1. An der Kreuzung müssen Sie nach links abbiegen. 2. Gehen Sie die nächste Straße links.,چپ,left
link-,1. Er hat sich das linke Bein gebrochen. 2. Das Haus ist auf der linken Seite.,پیوند-,link-
"die Lippe, -n",Es ist sehr kalt. Meine Lippen sind ganz trocken.,"لب، -s","the lip, -s"
"die Liste, -n",Was brauchen wir für die Party? – Mach doch eine Einkaufsliste.,"لیست، -s","the list, -s"
die Literatur,Ich interessiere mich für Literatur.,ادبیات,literature
"loben, lobt, lobte, hat gelobt",Ich habe alle Hausaufgaben gemacht. Der Lehrer hat mich heute gelobt.,"ستایش، ستایش، ستایش شده، ستایش کرده است","praise, praises, praised, has praised"
"das Loch, ¨-er","1. Ich habe ein Loch im Zahn. Ich muss zum Zahnarzt. 2. Deine Hose hat ein Loch. – Ich weiß, sie ist schon alt.","سوراخ، -er","the hole, -er"
locker,Lassen Sie bitte die Arme ganz locker und atmen Sie tief ein.,شل,loose
"der Löffel, -","Bitte, bringen Sie mir einen Löffel.","قاشق، -","the spoon, -"
"der Lohn, ¨-e",1. Sie bekommen Ihren Lohn immer am Ende des Monats. 2. Die Löhne sind hier sehr niedrig.,"دستمزد، ¨-e","the wage, ¨-e"
"sich lohnen, lohnt sich, lohnte sich, hat sich gelohnt",Für drei Tage zu meinen Eltern fahren lohnt sich nicht. Es ist zu weit.,"ارزشمند بودن، ارزشمند است، ارزشمند بود، ارزشمند بوده است","to be worthwhile, is worthwhile, was worthwhile, has been worthwhile"
"das Lokal, -e",Gibt es hier in der Nähe ein gemütliches Lokal?,"رستوران، -s","the restaurant, -s"
los/los-,1. Los! Beeilt euch! 2. Gibt es ein Problem? Was ist denn los? 3. Achtung – fertig – los!,برو برو-,go Go-
"losfahren, fährt los, fuhr los, ist losgefahren",Wir fahren um 8 Uhr los. Sei bitte pünktlich.,"شروع به رانندگی کردن، راندن، رفتن، رفتن کرده است","start driving, drives off, drove off, has driven off"
"löschen, löscht, löschte, hat gelöscht",1. Du kannst die Datei löschen. Ich brauche sie nicht mehr. 2. Das Feuer wurde schnell gelöscht.,"حذف کردن، حذف می‌کند، حذف کرد، حذف کرده است","delete, deletes, deleted, has deleted"
"lösen, löst, löste, hat gelöst",1. Wir müssen dieses Problem lösen. 2. Sie können die Fahrkarten auch am Automaten lösen.,"حل کردن، حل کردن، حل کردن، حل کرده است","solve, solves, solved, has solved"
"die Lösung, -en",1. Wir fahren alle zusammen mit dem Zug. Das ist die beste Lösung. 2. Die Aufgabe ist nicht schwer. Die Lösung ist ganz einfach.,راه حل(ها),the solution(s)
die Luft,"1. Oh, hier ist aber schlechte Luft. 2. Die Seeluft tut mir gut. 3. Bitte mach das Fenster auf. Ich brauche frische Luft.",هوا,the air
"lügen, lügt, log, hat gelogen","1. Du sollst nicht lügen. 2. Glaube nicht alles, was man dir sagt. Es ist oft gelogen.","دروغ، دروغ، دروغ گفت، دروغ گفته است","lie, lies, lied, has lied"
"die Lüge, -n",Das ist eine Lüge!,"دروغ، -s","the lie, -s"
die Lust,1. Ich habe keine Lust zu grillen. 2. Hast du Lust auf einen Tee?,شهوت,the lust
lustig,1. Ich habe einen lustigen Film gesehen. 2. Mir ist heute etwas Lustiges passiert.,خنده دار,funny
"machen, macht, machte, hat gemacht",1. Was machst du am Wochenende? 2. Ich muss jetzt das Essen machen. 3. Ich habe die Betten noch nicht gemacht. 4. Soll ich dir die Suppe noch einmal warm machen? 5. Meine Arbeit macht mir viel Spaß. 6. Mach dir bitte keine Sorgen. 7. Was würden Sie an meiner Stelle machen? 8. Tut mir leid. Die Küche hat schon geschlossen. – Da kann man nichts machen. 9. Entschuldigung! – Das macht doch nichts. 10. Das macht zusammen 20 Euro.,"انجام دادن، انجام می‌دهد، کرد، انجام داده است","do, does, did, has done"
"das Mädchen, -",Familie Kurz hat zwei Mädchen und einen Jungen.,"دختر، -","the girl, -"
"das Magazin, -e",Jugendliche lesen dieses Magazin gern.,"مجله، -s","the magazine, -s"
"der Magen, ¨-",Mit tut der Magen weh. Ich habe Magenschmerzen.,"معده، -","the stomach, -"
mager,Bitte 1 kg mageres Fleisch.,لاغر,lean
"die Mahlzeit, -en",1. Die Tropfen bitte immer nach den Mahlzeiten einnehmen. 2. In Deutschland gibt es meist nur einmal am Tag eine warme Mahlzeit.,"غذا، -s","the meal, -s"
"die Mahnung, -en","Wenn du die Rechnung nicht pünktlich bezahlst, bekommst du eine Mahnung.",تذکر (ها),the admonition(s)
mal,(siehe einmal),فقط,just
"das Mal, -e",1. Das machen wir nächstes Mal. 2. Das erste Mal war ich vor fünf Jahren in England. 3. Bis zum nächsten Mal.,"زمان، -s","the time, -s"
"malen, malt, malte, hat gemalt",Das Bild hat mein Vater gemalt.,"رنگ، رنگ می‌کند، نقاشی کرده، نقاشی کرده است","paint, paints, painted, has painted"
"der Maler, - die Malerin, -nen",1. Wir haben die Maler im Haus. Wir lassen die Wände neu streichen. 2. Picasso ist vielleicht der bekannteste Maler der Welt.,"نقاش، - نقاش زن، -s","the painter, - the female painter, -s"
man,1. Wie schreibt man das? 2. Hier darf man nicht parken.,مرد,man
manch-,1. Manche Nachbarn sind unfreundlich. 2. An manchen Tagen ist das Zugfahren billiger.,برخی-,some-
manchmal,1. Manchmal gehe ich mit meiner Frau ins Café. 2. Rauchen Sie? – Manchmal.,گاهی اوقات,sometimes
"der Mangel, ¨-",1. In dieser Stadt gibt es einen großen Mangel an Wohnungen. 2. Die Maschine hat technische Mängel.,"فقدان، ¨-","the lack, ¨-"
"der Mann, ¨-er",1. In unserer Firma arbeiten fast nur Männer. 2. Mein Mann arbeitet bei der Post.,"مرد، -er","the man, -er"
männlich,Kreuzen Sie bitte an: „weiblich“ oder „männlich“.,مردانه,masculine
"die Mannschaft, -en",Unsere Mannschaft hat 0:1 verloren.,"تیم، -s","the team, -s"
"der Mantel, ¨-",Es ist sehr kalt. Zieh deinen Mantel an.,"کت، ¨-","the coat, ¨-"
"die Mappe, -n",Mein Pass ist in dieser Mappe.,"پوشه، -s","the folder, -s"
"das Märchen, -",Meine Großmutter hat uns viele Märchen erzählt.,"افسانه، -","the fairy tale, -"
die Margarine,Meine Frau isst nur Margarine und keine Butter.,مارگارین,the margarine
"die Marille, -n (A) → D, CH: Aprikose",Schmecken dir die Marillen?,"زردآلو، -s (A) → D، CH: زردآلو","the apricot, -s (A) → D, CH: apricot"
"die Marke, -n",1. Ich brauche bitte fünf Briefmarken zu 1 Euro. 2. Markenschuhe sind mir zu teuer.,"برند، -s","the brand, -s"
"markieren, markiert, markierte, hat markiert",Hier ist unser Hotel. Ich markiere Ihnen auf dem Plan den Weg zum Bahnhof.,"علامت، علامت‌گذاری شده، علامت‌گذاری شده، علامت‌گذاری شده است","mark, marked, marked, has marked"
"der Markt, ¨-e",1. Ich gehe heute auf den Markt. 2. Mittwochs und samstags ist bei uns Markt.,"بازار، -e","the market, -e"
"die Marmelade, -n (D, A)",Bring bitte noch ein Glas Marmelade mit.,"مربا، -s (D، A)","the jam, -s (D, A)"
"die Maschine, -n",1. Ich habe eine neue Kaffeemaschine. 2. Unsere Maschine soll um 7 Uhr 10 starten.,"دستگاه، -s","the machine, -s"
das Material,Aus welchem Material ist der Schrank? – Aus Holz.,مواد,the material
"die Matura (A, CH) → D: Abitur",Meine Tocher hat gerade die Matura gemacht.,"Matura (A, CH) → D: Abitur","the Matura (A, CH) → D: Abitur"
"die Mauer, -n",Die Kinder sind über die Mauer geklettert.,"دیوار، -s","the wall, -s"
maximal,1. Wie lange braucht ein Brief? – Maximal zwei Tage. 2. Wie schwer darf der Brief sein? – Maximal 20 g.,حداکثر,maximum
"der Mechaniker, - die Mechanikerin, -nen",1. Das kann nur ein Mechaniker reparieren. 2. Karim ist Automechaniker. Er arbeitet bei Opel.,"مکانیک، - مکانیک زن، -s","the mechanic, - the female mechanic, -s"
die Medien (Pl.),Umweltschutz ist in den Medien ein großes Thema.,رسانه‌ها (جمع),the media (pl.)
"das Medikament, -e",1. Dieses Medikament gibt es nur auf Rezept. 2. Der Arzt hat mir ein Medikament verschrieben. 3. Für dieses Medikament müssen Sie fünf Euro dazu zahlen. 4. Dieses Medikament hat mir sehr gut geholfen.,"دارو، -s","the drug, -s"
die Medizin,1. Du musst noch deine Medizin nehmen. 2. Mein Sohn will Medizin studieren.,دارو,medicine
"das Meer, -e",Wir machen immer Urlaub am Meer.,"دریا، -s","the sea, -s"
das Mehl,Ich möchte einen Kuchen backen. Ist noch genug Mehl da?,آرد,the flour
mehr (siehe auch viel),1. Ich habe diesmal mehr gelernt als bei der letzten Prüfung. 2. Mehr kann ich nicht essen!,بیشتر (همچنین ببینید خیلی),more (see also much)
mehrere,1. Ich habe mehrere Leute gefragt. Aber niemand konnte mir helfen. 2. Viele Wörter haben mehrere Bedeutungen.,چندین,several
"die Mehrheit, -en",Die Mehrheit der Menschen in Deutschland besitzt ein Handy.,اکثریت,the majority
die Mehrwertsteuer,Die Mehrwertsteuer bei diesem Produkt beträgt 20 %.,مالیات بر ارزش افزوده,the value added tax
"meinen, meint, meinte, hat gemeint","1. Dieser Film ist gut. Was meinst du? 2. Ich meine, du solltest weniger rauchen.","معنی دادن، معنی دادن، منظور داشتن، منظور داشتن","to mean, means, meant, meant"
meinetwegen,Meinetwegen kannst du heute das Auto haben.,برای همه چیزهایی که برایم مهم است,For all I care
"die Meinung, -en","1. Ich bin der Meinung, dass du recht hast. 2. Ich habe meine Meinung geändert. 3. Meiner Meinung nach gibt es hier zu viele Autos.","نظر، -s","the opinion, -s"
"meist-, die meisten",1. Wie gut kannst du Deutsch? – Das Meiste verstehe ich. 2. Ich bin neu im Haus. Die meisten Nachbarn kenne ich noch nicht.,بیشترین,most
meist(ens),"1. Meistens trinke ich zum Frühstück nur einen Kaffee. 2. Seid ihr am Wochenende zu Hause? – Ja, meistens.",عمدتاً),mostly)
"der Meister, -","1. Ich weiß nicht, wie man das macht. – Dann frag doch den Meister. 2. Unsere Mannschaft ist deutscher Meister geworden.","استاد، -","the master, -"
"melden, meldet, meldete, hat gemeldet",1. Ich habe schon zweimal angerufen. Aber es meldet sich niemand. 2. Den Unfall müssen Sie der Versicherung melden. 3. Warum hast du dich so lange nicht gemeldet? Warst du krank?,"گزارش، گزارش می‌دهد، گزارش داده است، گزارش داده است","report, reports, reported, has reported"
"die Meldung, -en",Hast du die Meldung im Radio gehört? Es wird starken Sturm geben.,پیام(ها),the message(s)
"die Menge, -n","1. Diesen Preis gibt es nur, wenn Sie große Mengen kaufen. 2. Wir haben noch eine Menge Zeit. 3. Ich kenne schon eine Menge Leute in der Stadt. 4. Das Auto hat bestimmt eine Menge Geld gekostet.","کمیت، -s","the quantity, -s"
"die Mensa, -s/-en",Ich esse fast jeden Tag in der Mensa.,"کافه تریا، -s/-s","the cafeteria, -s/-s"
"der Mensch, -en",Die Menschen sind hier ein bisschen anders als im Süden.,"انسان‌ها، -s","human beings, -s"
menschlich,Fehler zu machen ist menschlich.,انسان,human
"das Menü, -s","Nimm doch das Menü, das sieht gut aus.","منو، -s","the menu, -s"
"merken, merkt, merkte, hat gemerkt","1. Ich habe nicht gemerkt, dass es schon so spät ist. Ich muss gehen. 2. Ich kann mir keine Zahlen merken. Ich vergesse sie sofort wieder.","توجه، توجه، متوجه، متوجه شده است","notice, notices, noticed, has noticed"
merkwürdig,Das ist eine merkwürdige Geschichte.,غیرمعمول,unusual
"die Messe, -n",1. Kommst du mit zur Automobilmesse? 2. Vielleicht kann ich auf der Messe einen Job bekommen.,"نمایشگاه، -s","the fair, -s"
"messen, misst, maß, hat gemessen",1. Haben Sie schon Fieber gemessen? 2. Ich habe das Zimmer ausgemessen. Es sind genau 20 m².,"اندازه گیری، اندازه گیری می کند، اندازه گیری کرده است","measure, measures, measured, has measured"
"das Messer, -",Das Messer schneidet nicht gut.,"چاقو، -","the knife, -"
"das Metall, -e",Dieser Tisch hier ist ganz aus Metall.,"فلز، -s","the metal, -s"
"die Methode, -n","Weißt du eine gute Methode, um schnell gut Deutsch zu lernen?","روش، -s","the method, -s"
"die Metropole, -n",Berlin und Wien sind Metropolen.,"کلان‌شهر، -s","the metropolis, -s"
"der Metzger, - → A: Fleischhauer",Dieser Metzger hat sehr gute Wurst.,"قصاب، - → الف: گوشت بر","the butcher, - → A: meat cutter"
"mieten, mietet, mietete, hat gemietet",1. Wir haben die Wohnung für drei Jahre gemietet. 2. Im Urlaub haben wir ein Auto gemietet.,"اجاره، اجاره، اجاره داده شده، اجاره داده است","rent, rents, rented, has rented"
